Area;Circ.;Feret;FeretX;FeretY;FeretAngle;MinFeret;AR;Round;Solidity
970500;588;58860;2805000;309500;83660;24650;2270;441;950
526250;804;30696;2653000;251500;102225;23712;1165;859;952
297500;677;27857;115500;265500;21038;17533;1602;624;923
765500;724;41437;2514000;273000;171674;27295;1310;763;952
2007500;786;64498;1653000;317000;82875;43199;1418;705;974
297750;686;28377;2904000;257500;165719;12500;2160;463;963
1470250;729;58962;2718000;256000;140505;34342;1591;629;953
753500;760;41503;553000;255000;121201;25772;1564;639;958
5826750;786;108057;1137000;334000;35014;70971;1511;662;972
97250;637;17678;2668500;265500;28740;8452;2296;436;896
528750;752;33560;130000;287000;56547;24000;1403;713;956
2593000;646;79073;161000;283000;160419;53005;1564;639;907
2200000;734;67685;1804000;325000;85764;48707;1293;773;929
3275750;795;75314;2460000;327500;45807;58693;1279;782;974
194500;753;22102;2889500;275000;52352;13493;1595;627;938
4245000;706;93744;2285500;258500;123690;62946;1347;742;925
479750;803;29262;1070000;286500;70017;25234;1123;890;952
324000;664;27115;1401000;286000;84710;19871;1384;723;922
2225000;772;68660;335500;293500;7953;43561;1573;636;975
455750;660;36878;575500;290000;49399;21332;1500;667;939
655250;638;39623;2161000;301000;79824;28204;1418;705;924
278750;731;26077;2551500;265000;147529;17000;1332;751;940
973000;642;52538;2836500;282500;8207;27315;1833;546;954
1608500;806;54424;528500;265500;110433;40304;1333;750;969
299000;612;29568;2042000;264000;108741;17599;1823;549;918
281250;703;26519;2047500;264000;134236;17364;1357;737;943
2606750;709;77708;2381000;269500;127681;46250;1595;627;943
354000;786;27536;2668000;266500;150642;18888;1342;745;949
2829250;799;75440;2907000;336500;70244;53194;1364;733;980
1341500;704;57706;464500;302000;27897;30224;1824;548;962
375000;820;25495;106000;284000;25560;20075;1168;856;962
1130000;743;53782;2763000;267000;137261;34721;1357;737;971
610000;551;48647;53000;269500;102465;18285;2781;360;938
6745250;681;128004;629000;362000;45950;77654;1759;569;917
1588500;821;53021;1703500;270000;91621;40769;1101;908;969
516250;546;42362;1992500;279000;168425;15013;2778;360;933
596250;772;32760;2692000;281000;164055;26249;1117;895;953
713000;699;42901;440000;302000;36469;24827;1760;568;958
1857250;777;58000;1881500;320500;43603;44166;1186;843;964
1963500;743;66412;1228000;314000;26372;43622;1493;670;953
790500;712;44102;297500;303500;32969;29010;1475;678;961
1417000;811;49601;813500;321500;75403;40791;1189;841;967
780750;812;38891;1054000;273500;98130;28409;1256;796;957
123750;484;23259;2575500;284000;25463;7214;3416;293;883
981500;651;50421;2507500;324500;82593;25903;1786;560;950
550250;721;34442;724000;277500;140301;22107;1383;723;956
763750;793;38668;1406000;305500;49720;28288;1358;736;966
2599500;731;72443;1926000;348000;83660;48229;1539;650;938
53250;775;10920;2660500;281500;164055;8000;1187;843;891
911500;699;42547;1620000;319000;70074;29818;1285;778;928
1277000;678;51580;6000;303000;163673;40090;1062;942;953
395500;662;34015;2540000;285000;178315;18637;1916;522;937
10500;695;5408;2570000;281000;146310;3718;1374;728;816
1014750;790;43932;2643000;280000;101821;31751;1331;751;940
3818500;807;77777;1958000;339000;30522;66376;1080;926;978
423250;787;27281;1071000;287500;138715;22915;1142;876;950
1057250;776;47794;2563500;318000;47968;34787;1224;817;965
1206750;796;44142;2661000;294000;170218;38355;1137;879;963
607250;743;34176;2216000;308000;20556;27363;1101;908;951
384000;637;33838;2596500;283000;108970;16500;1931;518;960
451250;756;34398;141000;312500;57465;20860;1677;596;953
748000;698;44777;575500;291500;156297;26891;1666;600;953
1167000;799;46739;2055500;287000;124540;34554;1334;750;941
3690500;715;95662;2815500;307000;161092;51341;1793;558;977
481500;780;30104;1511000;287500;147894;23665;1261;793;951
1816500;721;60828;64500;317500;27408;44183;1278;783;966
2917750;711;76815;407000;356500;66606;62573;1201;832;939
1294750;828;47011;1748500;296500;156161;37830;1230;813;967
40250;714;9849;2533000;285500;113962;6485;1602;624;910
1004250;713;44637;2343000;320500;48633;33907;1063;940;963
708000;811;36003;2034500;288000;127666;28986;1175;851;965
924750;714;45177;2270500;332500;84920;29812;1364;733;957
1177500;672;60141;100500;333500;47021;27929;1996;501;969
2761750;828;63702;1565000;293500;137545;58476;1054;949;964
1502000;673;64078;2373500;288000;112964;36265;1767;566;965
471000;682;36087;2714500;302000;3972;21174;1840;543;937
268000;689;24759;557000;309500;46637;19010;1255;797;937
334000;683;27536;1852500;296000;150642;17350;1658;603;945
881000;704;42942;774000;303000;152241;27534;1475;678;953
555000;762;35000;957000;321000;36870;21576;1611;621;953
2248250;805;63640;2141500;293500;98130;49237;1242;805;964
1049250;749;46446;2539500;293500;104335;32817;1454;688;958
1683250;781;55195;1328000;346500;47203;40472;1394;717;956
